"gene","logFC","t_stat","pval","padj"
"ENSG00000272870.3",0.510647175557166,5.70577067590569,2.61330909064003e-08,0.000603700533028754
"ENSG00000129521.15",0.846452294598464,5.35121250093726,1.92135960723359e-07,0.00095641325757983
"ENSG00000173085.15",-0.306117036532579,-5.26543309801974,2.48408274337863e-07,0.00095641325757983
"ENSG00000176490.5",-0.530983699383287,-5.31569210307592,2.42900317787617e-07,0.00095641325757983
"ENSG00000184785.6",0.416257508618966,5.42316528580841,1.12086895495466e-07,0.00095641325757983
"ENSG00000185633.10",1.08623296676281,5.34364365359487,1.87078624807006e-07,0.00095641325757983
"ENSG00000061918.14",0.412052958197871,5.18123766658827,4.02274811518061e-07,0.00132756434583982
"ENSG00000143622.11",0.373183009930241,5.04840058857805,7.31755109504023e-07,0.00151211846648387
"ENSG00000154814.14",-0.304068554490646,-5.02948237135628,8.50938923176067e-07,0.00151211846648387
"ENSG00000162433.15",0.594205168008698,5.06398886276189,8.00631760710638e-07,0.00151211846648387
"ENSG00000169594.13",-0.492772558074601,-5.1263680424583,6.2509647772427e-07,0.00151211846648387
"ENSG00000177508.12",0.676717988648638,5.05840384877593,7.35979798950371e-07,0.00151211846648387
"ENSG00000185100.11",0.853088422632402,5.04068422777715,7.45473989989054e-07,0.00151211846648387
"ENSG00000125434.11",-0.277687987517199,-4.99277119176335,9.75817355774636e-07,0.00161016833826785
"ENSG00000125629.15",0.316285651616355,4.89038547470557,1.53739166069334e-06,0.00220741035045767
"ENSG00000127561.15",-0.455351160293135,-4.93222586997121,1.5698359462893e-06,0.00220741035045767
"ENSG00000227947.2",0.421922000680821,4.8802815422884,1.62443080203369e-06,0.00220741035045767
"ENSG00000214491.8",0.550893342917684,4.83013477743975,2.08839790329931e-06,0.00268022666467319
"ENSG00000100024.15",0.767948030310575,4.76015031581815,2.9332344124171e-06,0.00291411138895792
"ENSG00000123836.15",-0.523992696836884,-4.7980762997827,2.5845497056226e-06,0.00291411138895792
"ENSG00000129244.9",0.583162838285738,4.73710405705191,3.15366368226259e-06,0.00291411138895792
"ENSG00000131368.8",-0.326190721967646,-4.74019520220818,3.15296761344884e-06,0.00291411138895792
"ENSG00000164105.4",0.344177706586672,4.76067964733936,2.90352805587064e-06,0.00291411138895792
"ENSG00000165376.11",0.970047348289579,4.77381130979654,2.7772374761834e-06,0.00291411138895792
"ENSG00000232352.1",-0.18605719720737,-4.79282487682885,3.00782739358591e-06,0.00291411138895792
"ENSG00000105289.15",-0.498316780666653,-4.67934219211537,4.36295060815555e-06,0.00295336982914204
"ENSG00000107159.13",0.882027597666448,4.68711443699377,4.47460906540718e-06,0.00295336982914204
"ENSG00000117266.16",0.592350419862896,4.73002473311763,3.42928078625854e-06,0.00295336982914204
"ENSG00000123610.5",0.88475268406784,4.67137490412735,4.30664221974892e-06,0.00295336982914204
"ENSG00000134874.18",0.451328158795202,4.67082555161396,4.43831930098932e-06,0.00295336982914204
"ENSG00000138792.10",0.66278921249358,4.67839740010552,4.37345621298182e-06,0.00295336982914204
"ENSG00000163235.16",0.637108109517408,4.70041128842374,3.9952223436052e-06,0.00295336982914204
"ENSG00000167114.13",-0.29673311201809,-4.68424640989235,4.03824568280995e-06,0.00295336982914204
"ENSG00000204219.11",0.42443315199329,4.68315608457164,4.10873576399885e-06,0.00295336982914204
"ENSG00000258586.1",0.701304223734544,4.67241279659838,4.2562166356108e-06,0.00295336982914204
"ENSG00000136828.19",-0.380591800795001,-4.63218552352452,5.25730829242058e-06,0.00321959334309713
"ENSG00000147872.10",0.667385749466735,4.63410877147522,5.20991592107156e-06,0.00321959334309713
"ENSG00000237289.10",-0.364077288506039,-4.6543268744586,5.29607147039916e-06,0.00321959334309713
"ENSG00000147647.13",0.758408331821612,4.61250595975747,5.82601640829143e-06,0.00328831018218126
"ENSG00000186918.14",0.488032000340411,4.61258069209779,5.77075669922337e-06,0.00328831018218126
"ENSG00000235142.10",0.565470595578277,4.61801348537285,5.83614204880445e-06,0.00328831018218126
"ENSG00000171992.13",0.515500122672574,4.58025082177081,6.57629593023617e-06,0.00361711934010442
"ENSG00000100473.18",-0.360172215825258,-4.58563354723221,7.02155695135736e-06,0.00377220900310015
"ENSG00000094963.14",0.817315838379562,4.53827424052381,7.82733657487963e-06,0.00409557337095314
"ENSG00000172765.17",0.347102286518968,4.54133317059821,7.97804431379122e-06,0.00409557337095314
"ENSG00000113361.13",0.693065551006921,4.53835447657745,8.39849009243967e-06,0.00421768520924889
"ENSG00000006007.12",-0.267562167923385,-4.50290760130444,9.31171772982934e-06,0.00457680832503804
"ENSG00000063761.16",-0.241745879182488,-4.48352828219084,1.00951211755439e-05,0.00465656753487914
"ENSG00000151882.11",0.640721216092754,4.48483993491463,1.00817386531355e-05,0.00465656753487914
"ENSG00000170266.16",-0.30212295226151,-4.48152278654909,1.02657794055806e-05,0.00465656753487914
"ENSG00000180481.11",0.283627222426089,4.48039341063863,1.02802884844308e-05,0.00465656753487914
"ENSG00000095203.14",-0.473150817899675,-4.48481539702829,1.07950237572471e-05,0.00475031687990355
"ENSG00000125355.16",-0.716483460432994,-4.47261264896877,1.08985236411795e-05,0.00475031687990355
"ENSG00000109107.14",0.691805981945348,4.45405954467971,1.14022764884641e-05,0.00479875261985925
"ENSG00000135116.9",-0.39387244764518,-4.48891068282405,1.14251068824838e-05,0.00479875261985925
"ENSG00000103591.13",-0.225182015394749,-4.4448791088035,1.20285087200617e-05,0.00487492245512537
"ENSG00000173546.7",0.584082307286207,4.44836568688866,1.19175925107867e-05,0.00487492245512537
"ENSG00000049283.18",-0.360396127932552,-4.43517068587996,1.36635717507163e-05,0.004877212857489
"ENSG00000078401.7",0.672163084385042,4.43286552690967,1.25529029161747e-05,0.004877212857489
